Neighborhood,Id,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
Blmngtn,1505.0454545454545,528228414.3181818,106.36363636363636,47.25,3396.818181818182,7.181818181818182,5.0,2005.090909090909,2005.5454545454545,41.86363636363637,4.0,4.090909090909091,3.090909090909091,4.136363636363637,317.40909090909093,0.0,1001.8181818181819,1319.2272727272727,5.0,1.0,1433.4545454545455,0.0,0.0,1433.4545454545455,0.2727272727272727,0.13636363636363635,1.9090909090909092,0.09090909090909091,1.8636363636363635,1.0,4.045454545454546,6.363636363636363,8.0,0.9545454545454546,3.3636363636363638,2005.1363636363637,2.3181818181818183,492.6363636363636,3.0,139.0,16.818181818181817,0.0,0.0,6.545454545454546,0.0,0.0,6.045454545454546,2007.409090909091,200417.68181818182
SawyerW,1180.2533333333333,681345986.64,57.4,70.76190476190476,10287.893333333333,6.506666666666667,5.1866666666666665,1992.52,1994.6933333333334,79.83783783783784,3.72,3.933333333333333,3.066666666666667,4.16,478.94666666666666,89.73333333333333,513.96,1082.64,4.626666666666667,1.0,1150.2933333333333,499.61333333333334,0.0,1649.9066666666668,0.5333333333333333,0.08,1.8533333333333333,0.6666666666666666,2.9066666666666667,1.0533333333333332,3.8266666666666667,6.626666666666667,7.946666666666666,0.56,1.4266666666666667,1993.48,2.1066666666666665,543.5066666666667,3.026666666666667,127.56,58.906666666666666,1.0133333333333334,0.0,23.14666666666667,0.0,80.0,6.293333333333333,2008.2,195983.46666666667
NWAmes,1289.057471264368,530162739.54022986,42.81609195402299,80.96551724137932,11752.988505747126,6.390804597701149,5.9655172413793105,1976.2988505747126,1981.6436781609195,182.08045977011494,3.206896551724138,3.574712643678161,3.0229885057471266,4.068965517241379,548.551724137931,72.7816091954023,600.6896551724138,1222.0229885057472,3.6666666666666665,1.0,1371.6896551724137,369.3448275862069,0.0,1741.0344827586207,0.39080459770114945,0.14942528735632185,1.896551724137931,0.4827586206896552,3.2413793103448274,1.0229885057471264,3.413793103448276,7.195402298850575,7.885057471264368,0.9195402298850575,2.5172413793103448,1976.5402298850574,2.0229885057471266,541.7931034482758,3.0114942528735633,120.94252873563218,61.333333333333336,16.74712643678161,3.3333333333333335,37.28735632183908,13.413793103448276,50.57471264367816,6.126436781609195,2007.7471264367816,194619.02298850575
Gilbert,1219.6283185840707,527771861.54867256,57.07964601769911,70.42857142857143,10521.716814159292,6.504424778761062,5.079646017699115,1999.0442477876106,1999.5221238938052,40.96296296296296,3.5486725663716814,3.9646017699115044,3.0265486725663715,2.8584070796460175,246.10619469026548,1.0,640.3805309734513,887.4867256637168,4.6902654867256635,0.9911504424778761,936.1504424778761,670.4424778761062,0.0,1606.5929203539822,0.24778761061946902,0.017699115044247787,1.9823008849557522,0.831858407079646,3.1150442477876106,1.0,3.5575221238938055,6.982300884955753,8.0,0.8230088495575221,2.6991150442477876,1999.070796460177,2.0530973451327434,445.12389380530976,3.0,99.23008849557522,41.14159292035398,2.1769911504424777,7.469026548672566,5.619469026548672,0.0,28.31858407079646,6.185840707964601,2007.8053097345132,190207.90265486727
Greens,1717.0,533253153.3333333,120.0,40.0,3876.6666666666665,8.0,5.333333333333333,1978.6666666666667,1978.6666666666667,0.0,4.0,4.0,3.0,6.0,837.0,175.33333333333334,213.66666666666666,1226.0,3.0,1.0,1226.0,0.0,0.0,1226.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,8.0,1.0,2.6666666666666665,1978.6666666666667,2.0,484.0,3.0,163.0,72.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.3333333333333,188666.66666666666
Mitchel,1648.9066666666668,920391969.6666666,55.8,72.22413793103448,11104.88,5.72,5.573333333333333,1982.5333333333333,1986.3866666666668,59.89333333333333,3.1466666666666665,3.72,3.0533333333333332,4.52,664.2666666666667,32.373333333333335,462.88,1159.52,4.013333333333334,1.0,1208.5466666666666,118.06666666666666,0.0,1326.6133333333332,0.68,0.10666666666666667,1.56,0.18666666666666668,2.7733333333333334,1.12,3.2933333333333334,6.1066666666666665,7.96,0.4533333333333333,1.12,1984.2666666666667,2.04,552.52,3.0,125.82666666666667,42.29333333333334,21.30666666666667,0.0,12.586666666666666,7.68,42.4,6.0,2007.9466666666667,171711.33333333334
NAmes,1394.1134020618556,533866654.5532646,37.13058419243986,75.5725806451613,10128.93470790378,5.402061855670103,5.86254295532646,1960.298969072165,1970.5876288659795,97.96563573883161,3.0652920962199315,3.0859106529209623,2.9965635738831615,3.656357388316151,510.89690721649487,86.04123711340206,477.6219931271478,1074.5601374570447,3.6975945017182132,0.9828178694158075,1172.769759450172,112.7766323024055,1.7594501718213058,1287.3058419243987,0.48109965635738833,0.11683848797250859,1.2096219931271477,0.23024054982817868,2.9072164948453607,1.041237113402062,3.202749140893471,5.982817869415808,7.865979381443299,0.5463917525773195,1.4089347079037802,1964.2817869415808,1.5463917525773196,428.192439862543,3.006872852233677,60.470790378006875,35.04810996563574,23.398625429553263,4.013745704467354,28.986254295532646,1.2646048109965635,98.43642611683849,6.333333333333333,2007.7938144329896,148226.29896907217
Blueste,1040.0,909452445.0,146.66666666666666,27.666666666666668,2409.6666666666665,6.666666666666667,5.833333333333333,1983.0,1983.0,0.0,3.3333333333333335,4.0,3.0,4.333333333333333,253.16666666666666,102.0,399.3333333333333,754.5,3.5,1.0,765.3333333333334,448.6666666666667,0.0,1214.0,0.3333333333333333,0.0,1.3333333333333333,0.5,2.0,1.0,3.3333333333333335,5.0,8.0,1.0,3.0,1983.0,2.0,494.5,3.0,149.66666666666666,19.5,0.0,0.0,0.0,0.0,0.0,6.333333333333333,2008.8333333333333,144566.66666666666
NPkVill,876.1176470588235,527453564.7058824,141.1764705882353,27.625,2678.6470588235293,6.294117647058823,5.647058823529412,1976.235294117647,1976.235294117647,0.0,3.0588235294117645,3.764705882352941,3.0,4.823529411764706,367.6470588235294,121.47058823529412,444.5882352941176,933.7058823529412,3.176470588235294,1.0,926.1764705882352,326.2352941176471,0.0,1252.4117647058824,0.11764705882352941,0.23529411764705882,1.9411764705882353,0.5294117647058824,2.588235294117647,1.0,3.1176470588235294,5.411764705882353,8.0,0.7058823529411765,1.8235294117647058,1976.2941176470588,1.8235294117647058,419.1764705882353,3.0,56.411764705882355,29.352941176470587,0.0,0.0,22.941176470588236,0.0,0.0,5.764705882352941,2008.3529411764705,140476.4705882353
Sawyer,1542.0576923076924,772516048.2211539,41.58653846153846,72.74242424242425,10382.26923076923,5.115384615384615,5.913461538461538,1963.8173076923076,1977.75,51.94230769230769,3.048076923076923,3.173076923076923,3.048076923076923,3.8846153846153846,505.41346153846155,119.14423076923077,338.4807692307692,963.0384615384615,3.769230769230769,0.9711538461538461,1068.8365384615386,81.25,2.4903846153846154,1152.576923076923,0.5576923076923077,0.09615384615384616,1.1346153846153846,0.22115384615384615,2.798076923076923,1.0288461538461537,3.1634615384615383,5.740384615384615,7.8076923076923075,0.5096153846153846,1.2307692307692308,1968.3942307692307,1.5480769230769231,425.47115384615387,2.980769230769231,96.29807692307692,22.759615384615383,21.490384615384617,0.0,13.317307692307692,0.0,89.42307692307692,6.028846153846154,2007.701923076923,139190.3076923077
Edwards,1658.050505050505,907102040.5050505,53.38383838383838,65.16666666666667,9815.323232323231,5.242424242424242,5.595959595959596,1958.5858585858587,1970.5252525252524,33.75757575757576,3.101010101010101,3.212121212121212,2.98989898989899,3.080808080808081,381.27272727272725,38.13131313131313,503.8181818181818,923.2222222222222,3.8484848484848486,0.8686868686868687,1075.8484848484848,234.7979797979798,3.6565656565656566,1314.3030303030303,0.42424242424242425,0.08080808080808081,1.2828282828282829,0.1717171717171717,2.888888888888889,1.0,3.191919191919192,6.01010101010101,7.626262626262626,0.45454545454545453,1.292929292929293,1965.4444444444443,1.494949494949495,402.8181818181818,2.898989898989899,78.82828282828282,22.515151515151516,19.474747474747474,0.0,13.929292929292929,7.454545454545454,55.55555555555556,5.909090909090909,2007.7575757575758,137219.85858585857
Landmrk,2789.0,907230240.0,160.0,,3612.0,6.0,5.0,1993.0,1994.0,0.0,3.0,4.0,3.0,6.0,338.0,0.0,292.0,630.0,5.0,1.0,630.0,690.0,0.0,1320.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,5.0,8.0,0.0,0.0,1993.0,2.0,484.0,3.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,137000.0
BrkSide,1442.2727272727273,880899656.2878788,52.95454545454545,56.295081967213115,7210.439393939394,5.454545454545454,6.393939393939394,1932.121212121212,1968.5757575757575,6.96969696969697,3.0757575757575757,2.984848484848485,2.9393939393939394,2.1515151515151514,210.54545454545453,23.0,588.4848484848485,822.030303030303,3.9242424242424243,0.8787878787878788,924.8333333333334,383.8939393939394,7.818181818181818,1316.5454545454545,0.18181818181818182,0.030303030303030304,1.1818181818181819,0.19696969696969696,2.787878787878788,1.0303030303030303,3.1666666666666665,6.045454545454546,7.803030303030303,0.48484848484848486,1.5151515151515151,1951.939393939394,1.4242424242424243,374.6969696969697,2.8333333333333335,59.57575757575758,31.651515151515152,35.378787878787875,4.454545454545454,19.5,0.0,15.151515151515152,5.833333333333333,2007.8939393939395,134067.04545454544
SWISU,1577.888888888889,908346176.4814814,59.81481481481482,58.51851851851852,7224.7037037037035,5.666666666666667,5.62962962962963,1934.1851851851852,1964.888888888889,23.296296296296298,3.037037037037037,3.074074074074074,2.962962962962963,2.962962962962963,310.3333333333333,21.59259259259259,496.3703703703704,828.2962962962963,3.925925925925926,0.7037037037037037,954.5185185185185,458.2962962962963,32.22222222222222,1445.037037037037,0.37037037037037035,0.07407407407407407,1.4444444444444444,0.2222222222222222,2.962962962962963,1.0,3.037037037037037,6.037037037037037,7.7407407407407405,0.5555555555555556,1.5185185185185186,1945.6296296296296,1.1851851851851851,317.48148148148147,2.8518518518518516,99.5925925925926,29.333333333333332,47.25925925925926,0.0,0.0,0.0,0.0,5.7407407407407405,2007.9259259259259,132754.96296296295
OldTown,1521.3812949640287,839047576.1510792,58.992805755395686,62.278195488721806,8536.230215827338,5.345323741007194,6.374100719424461,1923.273381294964,1973.2374100719423,10.050359712230216,3.0719424460431655,2.8920863309352516,2.971223021582734,2.079136690647482,160.0431654676259,31.949640287769785,643.4172661870504,835.410071942446,3.884892086330935,0.8057553956834532,956.1223021582733,473.7482014388489,23.41007194244604,1453.2805755395684,0.17985611510791366,0.050359712230215826,1.330935251798561,0.18705035971223022,2.8129496402877696,1.0719424460431655,3.273381294964029,6.381294964028777,7.712230215827338,0.30935251798561153,1.0215827338129497,1949.8561151079136,1.5611510791366907,418.705035971223,2.79136690647482,50.89928057553957,45.20863309352518,75.01438848920863,1.0071942446043165,14.920863309352518,0.0,58.63309352517986,6.410071942446043,2007.7410071942445,130543.5107913669
IDOTRR,1683.8636363636363,907792039.2045455,53.06818181818182,60.875,7948.977272727273,4.9772727272727275,5.9772727272727275,1930.3863636363637,1962.4318181818182,30.068181818181817,2.977272727272727,2.909090909090909,2.75,2.4318181818181817,218.52272727272728,11.681818181818182,552.5227272727273,782.7272727272727,3.6363636363636362,0.7954545454545454,912.5909090909091,347.29545454545456,22.931818181818183,1282.8181818181818,0.1590909090909091,0.0,1.2727272727272727,0.13636363636363635,2.7954545454545454,1.0,3.0681818181818183,6.045454545454546,7.795454545454546,0.25,0.8181818181818182,1950.2045454545455,1.2954545454545454,383.9318181818182,2.8636363636363638,31.5,37.68181818181818,71.02272727272727,1.9545454545454546,11.227272727272727,0.0,1.2272727272727273,6.204545454545454,2007.7272727272727,115503.56818181818
MeadowV,1961.6470588235295,923226055.882353,157.64705882352942,29.714285714285715,2509.470588235294,4.529411764705882,5.235294117647059,1973.4117647058824,1975.3529411764705,4.705882352941177,3.0,3.6470588235294117,3.0,4.411764705882353,435.47058823529414,39.88235294117647,170.58823529411765,645.9411764705883,3.235294117647059,1.0,727.8235294117648,480.70588235294116,0.0,1208.5294117647059,0.4117647058823529,0.0,1.1764705882352942,0.5294117647058824,2.9411764705882355,1.0,3.0,5.470588235294118,7.764705882352941,0.4117647058823529,1.1176470588235294,1973.4117647058824,1.2352941176470589,357.11764705882354,3.0,145.47058823529412,46.8235294117647,0.0,7.0588235294117645,0.0,0.0,0.0,6.470588235294118,2007.4705882352941,106391.17647058824
BrDale,1154.111111111111,527450978.3333333,160.0,21.333333333333332,1804.6666666666667,5.833333333333333,5.333333333333333,1971.8333333333333,1973.7777777777778,397.05555555555554,3.0,3.0,3.0,3.5555555555555554,256.05555555555554,16.333333333333332,252.55555555555554,524.9444444444445,3.3333333333333335,1.0,524.9444444444445,541.6111111111111,0.0,1066.5555555555557,0.2222222222222222,0.05555555555555555,1.1111111111111112,1.0,2.388888888888889,1.0,3.0555555555555554,5.388888888888889,7.944444444444445,0.0,0.0,1973.9444444444443,1.1111111111111112,286.6666666666667,3.0,72.94444444444444,2.0,0.0,0.0,0.0,0.0,0.0,6.888888888888889,2007.888888888889,104030.55555555556
